name,octave,clef,treble_note,treble_octaves,treble_octaves_hidden,bass_note,bass_octaves,bass_octaves_hidden,order,filename
C5#,5,bass,r2,r1,r1,r4 cis''4,r4 cis'4 cis''4 cis'''4,r4 \hideNotes cis'4 cis''4 cis'''4,1,108-53-5-bass-C5#
C5,5,treble,r4 c''4,r4 c'4 c''4 c'''4,r4 \hideNotes c'4 c''4 c'''4,r2,r1,r1,0,109-52-5-treble-C5
C5#,5,treble,r4 cis''4,r4 cis'4 cis''4 cis'''4,r4 \hideNotes cis'4 cis''4 cis'''4,r2,r1,r1,0,110-53-5-treble-C5#
D5b,5,treble,r4 des''4,r4 des'4 des''4 des'''4,r4 \hideNotes des'4 des''4 des'''4,r2,r1,r1,0,113-53-5-treble-D5b
D5,5,treble,r4 d''4,r4 d'4 d''4 d'''4,r4 \hideNotes d'4 d''4 d'''4,r2,r1,r1,0,111-54-5-treble-D5
D5#,5,treble,r4 dis''4,r4 dis'4 dis''4 dis'''4,r4 \hideNotes dis'4 dis''4 dis'''4,r2,r1,r1,0,112-55-5-treble-D5#
E5b,5,treble,r4 ees''4,r4 ees'4 ees''4 ees'''4,r4 \hideNotes ees'4 ees''4 ees'''4,r2,r1,r1,0,115-55-5-treble-E5b
E5,5,treble,r4 e''4,r4 e'4 e''4 e'''4,r4 \hideNotes e'4 e''4 e'''4,r2,r1,r1,0,114-56-5-treble-E5
F5,5,treble,r4 f''4,r4 f'4 f''4 f'''4,r4 \hideNotes f'4 f''4 f'''4,r2,r1,r1,0,116-57-5-treble-F5
F5#,5,treble,r4 fis''4,r4 fis'4 fis''4 fis'''4,r4 \hideNotes fis'4 fis''4 fis'''4,r2,r1,r1,0,117-58-5-treble-F5#
